p_val,avg_log2FC,pct.1,pct.2,p_val_adj,ratio,gene,,,,,,,,,,,
1.732E-160,2.802959834,1,0.991,2.7858E-156,1.009081736,Rps5,,,,,,,,,,,
2.0124E-159,2.768477092,1,0.995,3.2367E-155,1.005025126,Rps19,,,,,,,,,,,
2.4532E-155,2.707915222,0.997,0.98,3.9457E-151,1.017346939,Rps9,,,,,,,,,,,
4.2448E-154,2.647301468,1,0.974,6.8273E-150,1.026694045,Rpl3,,,,,,,,,,,
1.1798E-151,2.608038794,1,0.994,1.8976E-147,1.006036217,Rps4x,,,,,,,,,,,
2.8842E-157,2.605153399,1,0.994,4.639E-153,1.006036217,Rpl14,,,,,,,,,,,
3.2527E-157,2.587940797,1,0.989,5.2316E-153,1.011122346,Rps3,,,,,,,,,,,
3.8526E-153,2.571589989,0.997,0.982,6.1965E-149,1.015274949,Rps15a,,,,,,,,,,,
1.3838E-162,2.557226876,1,0.987,2.2257E-158,1.013171226,Rps11,,,,,,,,,,,
5.6117E-153,2.551199116,0.997,0.985,9.0258E-149,1.012182741,Rps3a1,,,,,,,,,,,
3.4057E-154,2.532917109,1,0.992,5.4778E-150,1.008064516,Rpl10a,,,,,,,,,,,
2.0016E-149,2.504015607,0.992,0.981,3.2194E-145,1.011213048,Rps18,,,,,,,,,,,
3.1308E-153,2.495261657,1,0.998,5.0355E-149,1.002004008,Rpl13a,,,,,,,,,,,
1.0283E-151,2.482785818,0.997,0.978,1.6539E-147,1.019427403,Rpl7,,,,,,,,,,,
8.9289E-157,2.475602483,1,0.994,1.4361E-152,1.006036217,Rps16,,,,,,,,,,,
1.2463E-160,2.464510684,1,0.99,2.0045E-156,1.01010101,Rpl27a,,,,,,,,,,,
8.2803E-155,2.46348378,1,1,1.3318E-150,1,Rpl18a,,,,,,,,,,,
1.261E-152,2.461027816,1,0.99,2.0281E-148,1.01010101,Rps20,,,,,,,,,,,
1.4527E-143,2.459038035,0.992,0.984,2.3365E-139,1.008130081,Rps13,,,,,,,,,,,
1.7512E-143,2.44616503,0.992,0.926,2.8166E-139,1.071274298,Rplp1,,,,,,,,,,,
7.0897E-145,2.444204838,0.994,0.996,1.1403E-140,0.997991968,Rps23,,,,,,,,,,,
1.0843E-148,2.438901587,0.986,0.918,1.744E-144,1.074074074,Tmsb4x,,,,,,,,,,,
1.7967E-154,2.433966033,0.994,0.863,2.8898E-150,1.15179606,Hsp90ab1,,,,,,,,,,,
1.011E-154,2.423011747,1,0.995,1.6261E-150,1.005025126,Rps27a,,,,,,,,,,,
1.2518E-150,2.409119732,0.997,0.99,2.0135E-146,1.007070707,Rps6,,,,,,,,,,,
7.5522E-155,2.408038019,1,0.998,1.2147E-150,1.002004008,Rpl13,,,,,,,,,,,
6.2094E-157,2.381569769,1,0.984,9.9872E-153,1.016260163,Rps17,,,,,,,,,,,
1.8521E-155,2.38153094,1,1,2.979E-151,1,Eef1a1,,,,,,,,,,,
8.4652E-151,2.369153224,0.992,0.982,1.3615E-146,1.010183299,Rpl28,,,,,,,,,,,
4.5796E-159,2.350152043,1,0.997,7.3658E-155,1.003009027,Rpl18,,,,,,,,,,,
4.7889E-143,2.332289735,0.997,0.998,7.7025E-139,0.998997996,Rps14,,,,,,,,,,,
8.1362E-147,2.321511772,0.994,0.975,1.3086E-142,1.019487179,Rpl35a,,,,,,,,,,,
7.5118E-150,2.318866349,0.997,0.994,1.2082E-145,1.003018109,Rpl23,,,,,,,,,,,
4.5694E-150,2.303921716,1,0.996,7.3495E-146,1.004016064,Rpl26,,,,,,,,,,,
1.0626E-151,2.287586363,1,0.995,1.7091E-147,1.005025126,Rpl8,,,,,,,,,,,
3.4728E-150,2.284072472,0.997,0.984,5.5857E-146,1.013211382,Rps10,,,,,,,,,,,
8.8293E-148,2.27758145,1,0.964,1.4201E-143,1.037344398,Rpl17,,,,,,,,,,,
2.7238E-147,2.270075581,1,1,4.381E-143,1,Rpl32,,,,,,,,,,,
1.3283E-143,2.265511285,0.994,0.914,2.1364E-139,1.087527352,Rps7,,,,,,,,,,,
1.879E-153,2.261608454,1,0.998,3.0222E-149,1.002004008,Rps8,,,,,,,,,,,
2.0952E-146,2.239772855,0.986,0.918,3.3699E-142,1.074074074,Eef1b2,,,,,,,,,,,
1.0442E-146,2.239243099,0.989,0.941,1.6795E-142,1.051009564,Gnb2l1,,,,,,,,,,,
5.8131E-147,2.236592965,0.997,0.972,9.3498E-143,1.025720165,Rpl4,,,,,,,,,,,
9.163E-145,2.221759633,0.994,0.97,1.4738E-140,1.024742268,Rpl34,,,,,,,,,,,
